Ozone,Solar.R,Wind,Temp,Month,Day
44,192,11.5,86,8,12
28,273,11.5,82,8,13
65,157,9.7,80,8,14
NA,64,11.5,79,8,15
22,71,10.3,77,8,16
59,51,6.3,79,8,17
23,115,7.4,76,8,18
31,244,10.9,78,8,19
44,190,10.3,78,8,20
21,259,15.5,77,8,21
9,36,14.3,72,8,22
NA,255,12.6,75,8,23
45,212,9.7,79,8,24
168,238,3.4,81,8,25
73,215,8,86,8,26
NA,153,5.7,88,8,27
76,203,9.7,97,8,28
118,225,2.3,94,8,29
84,237,6.3,96,8,30
85,188,6.3,94,8,31
96,167,6.9,91,9,1
78,197,5.1,92,9,2
73,183,2.8,93,9,3
91,189,4.6,93,9,4
47,95,7.4,87,9,5
32,92,15.5,84,9,6
20,252,10.9,80,9,7
23,220,10.3,78,9,8
21,230,10.9,75,9,9
24,259,9.7,73,9,10
44,236,14.9,81,9,11
21,259,15.5,76,9,12
28,238,6.3,77,9,13
9,24,10.9,71,9,14
13,112,11.5,71,9,15
46,237,6.9,78,9,16
18,224,13.8,67,9,17
13,27,10.3,76,9,18
24,238,10.3,68,9,19
16,201,8,82,9,20
13,238,12.6,64,9,21
23,14,9.2,71,9,22
36,139,10.3,81,9,23
7,49,10.3,69,9,24
14,20,16.6,63,9,25
30,193,6.9,70,9,26
NA,145,13.2,77,9,27
14,191,14.3,75,9,28
18,131,8,76,9,29
20,223,11.5,68,9,30
